Pais,EsperanzaDeVida,InversionSalud,InversionEducacion
Luxembourg,82.94634146,5.55154753,3.705990076
Latvia,74.27804878,7.62168407,4.319200039
"Macao SAR, China",83.0804878,,6.057069778
St. Martin (French part),80.236,,
Morocco,75.161,5.68049145,5.912246741
Monaco,85.746,3.39779735,1.171059966
Moldova,71.546,6.96505404,6.110539913
Madagascar,63.068,3.25023246,3.06772823
Maldives,80.76,9.65276241,4.673443154
"Middle East, North Africa, Afghanistan & Pakistan",71.69183197,4.780514808,4.301239967
Mexico,73.973,5.72145176,4.065859795
Marshall Islands,66.725,11.73604298,7.700880051
Middle income,72.51720203,5.269570802,3.505653931
North Macedonia,74.42487805,7.6204114,
Mali,60.035,3.67284775,4.045122275
Malta,82.44878049,9.52376747,4.719739914
Myanmar,66.506,5.20476246,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",71.00553154,4.67161812,
Montenegro,76.18780488,10.92241859,
Mongolia,71.90073171,8.85170174,
Northern Mariana Islands,78.531,,
Mozambique,63.011,8.77717781,5.976073421
Mauritania,68.281,4.48389912,1.389660001
Mauritius,73.51463415,5.82381678,4.84085989
Malawi,66.037,6.50023508,2.748883711
Malaysia,75.444,3.90591931,3.49933782
North America,77.83276796,16.0814812,4.880219936
Namibia,64.19,9.29635525,9.391947085
New Caledonia,77.698,,
Niger,60.398,4.35259724,3.712318321
Nigeria,54.079,4.27090406,0.348516708
Nicaragua,74.463,8.95364857,3.800014962
Netherlands,81.61463415,10.10068321,5.179180145
Norway,82.5097561,7.94803333,5.455860138
Nepal,70.087,6.65589333,4.136450817
Nauru,61.93,18.17031097,5.918279717
New Zealand,81.95853659,10.02858067,5.225570202
OECD members,79.52125458,12.82203645,4.991675138
Oman,77.911,2.9162159,4.301239967
Other small states,72.90492487,7.598790769,5.024099827
Pakistan,67.417,2.90434051,1.973009458
Panama,79.324,8.46561432,3.377810001
Peru,76.834,6.0930872,3.833159924
Philippines,69.472,5.15676308,3.579600895
Palau,68.922,14.28555965,3.576201334
Papua New Guinea,65.274,2.61825109,0.643376921
Poland,77.15609756,6.39626455,4.313729763
Pre-demographic dividend,61.383288,4.370916915,2.891687446
Puerto Rico (US),79.427,,3.861299308
"Korea, Dem. People's Rep.",73.641,,
Portugal,81.63170732,10.46883011,4.551599979
Paraguay,72.319,7.73804235,3.396199942
West Bank and Gaza,76.662,9.73336029,
Pacific island small states,69.1004349,5.707952435,
Post-demographic dividend,80.19778783,13.32762477,4.991675138
French Polynesia,83.859,,
Qatar,81.857,2.18112326,
Romania,75.15365854,5.7490139,3.278820038
Russian Federation,72.54560976,6.91986275,4.054027553
Rwanda,67.528,7.8792119,4.746230125
South Asia,72.01157313,3.264518034,3.09202236
Saudi Arabia,77.31,4.62462378,
Sudan,65.695,4.61874437,
Senegal,67.788,4.06358385,5.987539768
Singapore,82.89512195,4.89702511,2.488919973
Solomon Islands,70.409,4.82369328,8.487378297
Sierra Leone,61.275,7.94752312,4.911300182
El Salvador,71.969,9.84079742,3.256340027
San Marino,85.708,7.40650225,2.897530079
"Somalia, Fed. Rep.",53.931,2.62183189,7.22E-06
Serbia,75.23658537,9.65742779,3.082550049
Sub-Saharan Africa (excluding high income),61.2833536,5.110317463,3.082496249
South Sudan,57.203,6.76125622,
Sub-Saharan Africa,61.85717959,4.987845513,3.097264268
Small states,72.37946786,6.974715828,4.84085989
Sao Tome and Principe,69.237,7.46419811,5.193921017
Suriname,73.254,5.91760969,3.43460842
Slovak Republic,76.96585366,7.73064041,4.655089855
Slovenia,81.28292683,9.60507679,5.280650139
Sweden,83.05853659,10.49857044,7.319099903
